"date","mode","instances","iteration","wall_ms","peak_working_set_mb_total_tree","url"
"2026-02-12","playwright","1","1","23531","0","https://httpbin.org/forms/post"
"2026-02-12","playwright","1","2","2250","0","https://httpbin.org/forms/post"
"2026-02-12","playwright","1","3","1225","0","https://httpbin.org/forms/post"
